timestamp,session_id,request_id,event,original_query,rewritten_query,route,confidence,method,agent,grounded,parser_passed,inferred,prompt_chars,sources,preview
2025-11-03T00:24:01,20251103_001905_51dfeb,REQ_ccd522d6,ui_return,code to convert 360 degrees to radians,code to convert 360 degrees to radians,,0.5608,,code,,False,,5944,"['TABLE::commands.csv', 'TABLE::commands.csv', 'spec Manual cambria.pdf', 'SPEC_RAG_Cookbook.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",def deg_to_rad '  x = $1 ;  return rad(x) '
2025-11-03T00:35:14,20251103_001905_51dfeb,REQ_9b0eb90e,user_query_received,write a spec code to change the temperature from 200 K to 220 K,,,,llm-rag,code,,,,,,
2025-11-03T00:35:14,20251103_001905_51dfeb,REQ_9b0eb90e,query_rewrite,write a spec code to change the temperature from 200 K to 220 K,write a spec code to change the temperature from 200 K to 220 K,code,,,code,,,,,,
2025-11-03T00:35:16,20251103_001905_51dfeb,REQ_9b0eb90e,ui_return,write a spec code to change the temperature from 200 K to 220 K,write a spec code to change the temperature from 200 K to 220 K,,0.5945,,code,,False,,6241,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']","def change_temp(new_temp): \n     if new_temp < 200: \n         print(""Temperature cannot be lower than 200 K"") \n         return \n     elif new_temp > 220: \n         print(""Temperature cannot be higher than 220 K"
2025-11-03T00:36:43,20251103_001905_51dfeb,REQ_5f941ed7,user_query_received,what is the spec code to change the temprature from 200 K to 220 K?,,,,llm-rag,code,,,,,,
2025-11-03T00:36:43,20251103_001905_51dfeb,REQ_5f941ed7,query_rewrite,what is the spec code to change the temprature from 200 K to 220 K?,what is the spec code to change the temprature from 200 K to 220 K?,code,,,code,,,,,,
2025-11-03T00:36:45,20251103_001905_51dfeb,REQ_5f941ed7,ui_return,what is the spec code to change the temprature from 200 K to 220 K?,what is the spec code to change the temprature from 200 K to 220 K?,,0.5771,,code,,False,,7116,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']","def settemp '  if ($# != 1) {  print ""Usage: settemp set_point"" exit  } else {  local _1  _1 = $1  if (_1 < T_LO_SP || _1 > T_HI_SP) {  printf(""Temp limits are %g to %g.\n"",T_LO_SP,T_HI_SP) exit  }  T"
2025-11-03T00:37:11,20251103_001905_51dfeb,REQ_998acddd,user_query_received,write a  spec code to shift the temperature from 220 K to 200 K,,,,llm-rag,code,,,,,,
2025-11-03T00:37:11,20251103_001905_51dfeb,REQ_998acddd,query_rewrite,write a  spec code to shift the temperature from 220 K to 200 K,write a spec code to shift the temperature from 220 K to 200 K,code,,,code,,,,,,
2025-11-03T00:37:13,20251103_001905_51dfeb,REQ_998acddd,ui_return,write a  spec code to shift the temperature from 220 K to 200 K,write a spec code to shift the temperature from 220 K to 200 K,,0.5956,,code,,False,,6240,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",def teramp ' \n     if ($# == 1) { \n         te $1 \n     } else if ($# == 2) { \n         local _i _s1 _f1 _d1 _rtime _stime \n         _f1 = $1 \n         _rtime = $2 \n         _stime = _rtime < 500? 2:10 \n         _s1 
